IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.90.108.106,443,443,true,FRA,Europe,Frankfurt,257,5.75
34.65.123.126,443,443,true,FRA,Europe,Frankfurt,253,5.75
34.65.167.149,443,443,true,FRA,Europe,Frankfurt,257,5.75
34.147.127.185,443,443,true,FRA,Europe,Frankfurt,257,5.75
34.91.71.101,443,443,true,FRA,Europe,Frankfurt,263,5.75
34.154.31.255,443,443,true,FRA,Europe,Frankfurt,253,5.74
34.159.20.9,443,443,true,FRA,Europe,Frankfurt,252,5.73
34.91.9.40,443,443,true,FRA,Europe,Frankfurt,259,5.73
34.65.239.183,443,443,true,FRA,Europe,Frankfurt,258,5.73
35.204.216.23,443,443,true,FRA,Europe,Frankfurt,259,5.73
34.154.208.160,443,443,true,FRA,Europe,Frankfurt,251,5.72
34.90.239.45,443,443,true,FRA,Europe,Frankfurt,257,5.72
34.65.203.85,443,443,true,FRA,Europe,Frankfurt,253,5.72
34.65.129.192,443,443,true,FRA,Europe,Frankfurt,250,5.71
34.32.144.233,443,443,true,FRA,Europe,Frankfurt,256,5.71
34.107.43.137,443,443,true,FRA,Europe,Frankfurt,312,5.71
34.65.239.183,443,443,true,FRA,Europe,Frankfurt,256,5.71
34.116.141.173,443,443,true,FRA,Europe,Frankfurt,265,5.71
34.90.79.99,443,443,true,FRA,Europe,Frankfurt,257,5.70
35.204.198.59,443,443,true,FRA,Europe,Frankfurt,302,5.70
34.91.119.31,443,443,true,FRA,Europe,Frankfurt,258,5.70
34.32.227.102,443,443,true,FRA,Europe,Frankfurt,258,5.70
34.91.83.51,443,443,true,FRA,Europe,Frankfurt,259,5.70
34.91.119.31,443,443,true,FRA,Europe,Frankfurt,257,5.69
34.32.169.219,443,443,true,FRA,Europe,Frankfurt,255,5.69
34.91.83.51,443,443,true,FRA,Europe,Frankfurt,259,5.69
35.204.50.60,443,443,true,FRA,Europe,Frankfurt,264,5.68
34.65.203.90,443,443,true,FRA,Europe,Frankfurt,252,5.68
34.91.66.231,443,443,true,FRA,Europe,Frankfurt,256,5.67
34.32.173.210,443,443,true,FRA,Europe,Frankfurt,264,5.67
35.246.165.122,443,443,true,FRA,Europe,Frankfurt,281,5.67
34.91.69.135,443,443,true,FRA,Europe,Frankfurt,257,5.66
34.154.55.209,443,443,true,FRA,Europe,Frankfurt,251,5.65
34.154.173.122,443,443,true,FRA,Europe,Frankfurt,251,5.65
34.65.208.108,443,443,true,FRA,Europe,Frankfurt,250,5.65
34.154.181.52,443,443,true,FRA,Europe,Frankfurt,259,5.65
34.65.239.218,443,443,true,FRA,Europe,Frankfurt,258,5.64
34.116.241.129,443,443,true,FRA,Europe,Frankfurt,268,5.64
34.91.69.135,443,443,true,FRA,Europe,Frankfurt,259,5.64
